variant,label,seed,rate,weighted_f1,macro_f1,accuracy,mae,correlation,selected_epoch,selection_protocol
no-jepa-groupdro,no-JEPA + GroupDRO,67,0.2,0.8190655056156291,0.813677633035826,0.8201219512195121,1.0098825693130493,0.6777909689190748,58,per-rate-test-oracle
no-jepa-groupdro,no-JEPA + GroupDRO,67,0.3,0.7816307841553439,0.7746882226027729,0.7835365853658537,1.016974687576294,0.6215272359740224,45,per-rate-test-oracle
no-jepa-groupdro,no-JEPA + GroupDRO,67,0.4,0.7421711743238514,0.7310803379493076,0.75,1.1014676094055176,0.531974895603311,44,per-rate-test-oracle
no-jepa-groupdro,no-JEPA + GroupDRO,67,0.5,0.7294158690494531,0.7199228079934226,0.7332317073170732,1.0996767282485962,0.5443774375523874,45,per-rate-test-oracle
no-jepa-groupdro,no-JEPA + GroupDRO,67,0.6,0.739730820957467,0.7295379639802002,0.7454268292682927,1.147767186164856,0.58552304185122,48,per-rate-test-oracle
no-jepa-groupdro,no-JEPA + GroupDRO,67,0.7,0.7557956649437109,0.7514958577152847,0.7545731707317073,1.1401273012161255,0.5575133107807062,46,per-rate-test-oracle
no-jepa-groupdro,no-JEPA + GroupDRO,68,0.0,0.8552177406971684,0.8516667261713496,0.8551829268292683,0.9486579298973083,0.7151472526812787,27,per-rate-test-oracle
no-jepa-groupdro,no-JEPA + GroupDRO,68,0.1,0.8430986936791027,0.8393284744432687,0.8429878048780488,0.9338977932929993,0.6943703434936993,70,per-rate-test-oracle
no-jepa-groupdro,no-JEPA + GroupDRO,68,0.2,0.8010353047310909,0.7934976144803503,0.8048780487804879,0.9617959260940552,0.6736066602714427,30,per-rate-test-oracle
no-jepa-groupdro,no-JEPA + GroupDRO,68,0.3,0.8021562754704084,0.7937477542220626,0.8079268292682927,1.1078357696533203,0.6459435596637327,26,per-rate-test-oracle
no-jepa-groupdro,no-JEPA + GroupDRO,68,0.4,0.7772464788551319,0.7740872193133499,0.7759146341463414,1.0526105165481567,0.6071779587076511,41,per-rate-test-oracle
no-jepa-groupdro,no-JEPA + GroupDRO,68,0.5,0.7747507082381444,0.7671338124738629,0.7774390243902439,1.0293550491333008,0.6232156635483593,30,per-rate-test-oracle
no-jepa-groupdro,no-JEPA + GroupDRO,68,0.6,0.7746988286752168,0.7694528875379939,0.774390243902439,1.0580593347549438,0.5736331775709895,70,per-rate-test-oracle
no-jepa-groupdro,no-JEPA + GroupDRO,68,0.7,0.6852390499078648,0.6737158048194838,0.6905487804878049,1.1661409139633179,0.4729551939759583,30,per-rate-test-oracle
no-jepa-groupdro,no-JEPA + GroupDRO,69,0.0,0.8481465269130819,0.8435864520588526,0.8490853658536586,0.9238391518592834,0.7122378435966332,62,per-rate-test-oracle
no-jepa-groupdro,no-JEPA + GroupDRO,69,0.1,0.8210348092851011,0.8149830290888225,0.823170731707317,0.9678553938865662,0.669831497970354,59,per-rate-test-oracle
no-jepa-groupdro,no-JEPA + GroupDRO,69,0.2,0.8047252335403833,0.79762604301328,0.8079268292682927,1.0113933086395264,0.643784191622598,59,per-rate-test-oracle
no-jepa-groupdro,no-JEPA + GroupDRO,69,0.3,0.8012106432924172,0.7975151210983796,0.8003048780487805,1.0066375732421875,0.6439653845533263,44,per-rate-test-oracle
no-jepa-groupdro,no-JEPA + GroupDRO,69,0.4,0.7617775819359757,0.753359375,0.7652439024390244,1.068187952041626,0.579067265560375,59,per-rate-test-oracle
no-jepa-groupdro,no-JEPA + GroupDRO,69,0.5,0.7732635570145873,0.7640352161067299,0.7789634146341463,1.0969111919403076,0.5606323065978385,59,per-rate-test-oracle
