dataset,rate,mode,section,modality,metric,n_seeds,mean,sample_std
iemocap4,0.5,fixed0.95,task,,weighted_f1,5,0.8019734351143294,0.012424339227909777
iemocap4,0.5,reference,current_observed_write_fit,audio,err_after,5,0.0016840815652178584,6.900548146722604e-05
iemocap4,0.5,reference,current_observed_write_fit,text,err_after,5,0.0023917888550858317,6.468258056214468e-05
iemocap4,0.5,reference,current_observed_write_fit,visual,err_after,5,0.0016469563109268858,0.00010144302309427366
iemocap4,0.5,reference,retention,audio,err_decay,5,0.15568881082092637,0.014281038200243831
iemocap4,0.5,reference,retention,text,err_decay,5,0.16048352810614447,0.005724095127818922
iemocap4,0.5,reference,retention,visual,err_decay,5,0.15496580082512468,0.008021244477664672
iemocap4,0.5,reference,task,,accuracy,5,0.8009669621273167,0.013639251313304408
iemocap4,0.5,reference,task,,macro_f1,5,0.7904721366469749,0.015558600917154244
iemocap4,0.5,reference,task,,weighted_f1,5,0.8011808613274906,0.012850627693409002
iemocap4,0.7,fixed0.0,current_observed_write_fit,audio,err_after,5,1.0,0.0
iemocap4,0.7,fixed0.0,current_observed_write_fit,text,err_after,5,1.0,0.0
iemocap4,0.7,fixed0.0,current_observed_write_fit,visual,err_after,5,1.0,0.0
iemocap4,0.7,fixed0.0,retention,audio,err_decay,5,1.0,0.0
iemocap4,0.7,fixed0.0,retention,text,err_decay,5,1.0,0.0
iemocap4,0.7,fixed0.0,retention,visual,err_decay,5,1.0,0.0
iemocap4,0.7,fixed0.0,task,,accuracy,5,0.5730862207896857,0.0157842560767003
iemocap4,0.7,fixed0.0,task,,macro_f1,5,0.5543756658825887,0.01344579578607443
iemocap4,0.7,fixed0.0,task,,weighted_f1,5,0.5698795129990165,0.015562869065368209
iemocap4,0.7,fixed0.2,current_observed_write_fit,audio,err_after,5,0.5950789579772192,0.02176518420341111
iemocap4,0.7,fixed0.2,current_observed_write_fit,text,err_after,5,0.7471995882996655,0.009435961973381491
iemocap4,0.7,fixed0.2,current_observed_write_fit,visual,err_after,5,0.6074421303066067,0.01367518049698766
iemocap4,0.7,fixed0.2,retention,audio,err_decay,5,0.6167949232496399,0.018319135490168146
iemocap4,0.7,fixed0.2,retention,text,err_decay,5,0.7636710826927137,0.011805576044779924
iemocap4,0.7,fixed0.2,retention,visual,err_decay,5,0.6352707530580299,0.012691571492420471
iemocap4,0.7,fixed0.2,task,,accuracy,5,0.76116035455278,0.00661052193456684
iemocap4,0.7,fixed0.2,task,,macro_f1,5,0.7514241935075167,0.00798591930564355
iemocap4,0.7,fixed0.2,task,,weighted_f1,5,0.7621886246745978,0.0065557317993319535
iemocap4,0.7,fixed0.4,current_observed_write_fit,audio,err_after,5,0.42434281815999325,0.01883413198514464
iemocap4,0.7,fixed0.4,current_observed_write_fit,text,err_after,5,0.568379408189212,0.008346950041607003
iemocap4,0.7,fixed0.4,current_observed_write_fit,visual,err_after,5,0.4241490557957491,0.012557281916192174
iemocap4,0.7,fixed0.4,retention,audio,err_decay,5,0.4698398215707553,0.013162128110347003
iemocap4,0.7,fixed0.4,retention,text,err_decay,5,0.6056505061603166,0.010337095137734122
iemocap4,0.7,fixed0.4,retention,visual,err_decay,5,0.4750846258427014,0.014405109590287133
iemocap4,0.7,fixed0.4,task,,accuracy,5,0.7835616438356164,0.013137287577722985
