dataset,seed,rate,higher_eta,lower_eta,lower_minus_higher
mosi,68,all,0.4,0.2,-0.0051967676045932
mosi,68,all,0.2,0.0,-0.03597886389894012
mosi,69,0,1.0,0.95,0.0
mosi,69,0,0.95,0.9,0.0
mosi,69,0,0.9,0.8,-0.00011127234967078792
mosi,69,0,0.8,0.6,0.0
mosi,69,0,0.6,0.4,-0.00011420526410998999
mosi,69,0,0.4,0.2,0.00011420526410998999
mosi,69,0,0.2,0.0,-0.0054150807526033296
mosi,69,0.1,1.0,0.95,0.0
mosi,69,0.1,0.95,0.9,-0.0015857480209199304
mosi,69,0.1,0.9,0.8,-0.0015876234556675417
mosi,69,0.1,0.8,0.6,0.0015876234556675417
mosi,69,0.1,0.6,0.4,0.0
mosi,69,0.1,0.4,0.2,0.003062603570619493
mosi,69,0.1,0.2,0.0,-0.01283112839444367
mosi,69,0.3,1.0,0.95,-0.0015763567501426712
mosi,69,0.3,0.95,0.9,-0.001474714080280437
mosi,69,0.3,0.9,0.8,0.0015753749566000952
mosi,69,0.3,0.8,0.6,0.0042145269913037575
mosi,69,0.3,0.6,0.4,-0.003287282447738127
mosi,69,0.3,0.4,0.2,-0.0015906202939647285
mosi,69,0.3,0.2,0.0,-0.024998410416037342
mosi,69,0.5,1.0,0.95,-0.00489566967713384
mosi,69,0.5,0.95,0.9,-0.0002740810299101115
mosi,69,0.5,0.9,0.8,0.00013935971964085248
mosi,69,0.5,0.8,0.6,-0.004952548309515747
mosi,69,0.5,0.6,0.4,-0.004833017320466371
mosi,69,0.5,0.4,0.2,-0.0017836627949383566
mosi,69,0.5,0.2,0.0,-0.02777899403705253
mosi,69,0.7,1.0,0.95,0.004404150598069201
mosi,69,0.7,0.95,0.9,0.0
mosi,69,0.7,0.9,0.8,0.0014668342042495341
mosi,69,0.7,0.8,0.6,-0.00011536485512708694
mosi,69,0.7,0.6,0.4,-0.0002458658788901946
mosi,69,0.7,0.4,0.2,-0.006517361586648951
mosi,69,0.7,0.2,0.0,-0.025337344063007472
mosi,69,all,1.0,0.95,-0.00041357516584150655
mosi,69,all,0.95,0.9,-0.0006669086262220958
mosi,69,all,0.9,0.8,0.00029653461503043044
mosi,69,all,0.8,0.6,0.00014684745646575958
mosi,69,all,0.6,0.4,-0.0016960741822409364
mosi,69,all,0.4,0.2,-0.0013429671681645106
mosi,69,all,0.2,0.0,-0.019272191532628935
mosi,70,0,1.0,0.95,0.0
mosi,70,0,0.95,0.9,0.0
mosi,70,0,0.9,0.8,0.001488268286829686
mosi,70,0,0.8,0.6,0.0
mosi,70,0,0.6,0.4,8.946979040103109e-05
mosi,70,0,0.4,0.2,0.0015760233202265495
mosi,70,0,0.2,0.0,0.008257369735334752
mosi,70,0.1,1.0,0.95,0.0
mosi,70,0.1,0.95,0.9,-0.0014870815477998622
mosi,70,0.1,0.9,0.8,-0.004625051783860967
mosi,70,0.1,0.8,0.6,0.002971073321715423
mosi,70,0.1,0.6,0.4,8.499334411493642e-05
mosi,70,0.1,0.4,0.2,0.0016487023091031894
mosi,70,0.1,0.2,0.0,-0.006753588543074396
mosi,70,0.3,1.0,0.95,0.0015721107665817025
mosi,70,0.3,0.95,0.9,-0.0014762434144749426
mosi,70,0.3,0.9,0.8,0.0031370461317167253
mosi,70,0.3,0.8,0.6,-0.0031370461317167253
mosi,70,0.3,0.6,0.4,-0.004430775972116274
mosi,70,0.3,0.4,0.2,0.007567822103833
mosi,70,0.3,0.2,0.0,-0.0293104847662905
mosi,70,0.5,1.0,0.95,-0.0014504839036227901
mosi,70,0.5,0.95,0.9,0.0014504839036227901
mosi,70,0.5,0.9,0.8,0.0027346795086997666
mosi,70,0.5,0.8,0.6,-0.0017910184242104776
mosi,70,0.5,0.6,0.4,-0.0014450756567795375
mosi,70,0.5,0.4,0.2,0.0006578967300846505
mosi,70,0.5,0.2,0.0,-0.029602965634051737
mosi,70,0.7,1.0,0.95,0.006094659696168736
mosi,70,0.7,0.95,0.9,-0.0030473298480844235
mosi,70,0.7,0.9,0.8,-0.001343220459305794
mosi,70,0.7,0.8,0.6,0.0018954586469557277
mosi,70,0.7,0.6,0.4,0.006174617219080081
mosi,70,0.7,0.4,0.2,-0.010504758065639885
mosi,70,0.7,0.2,0.0,-0.043843039131707395
mosi,70,all,1.0,0.95,0.0012432573118255075
mosi,70,all,0.95,0.9,-0.000912034181347332
mosi,70,all,0.9,0.8,0.00027834433681594994
mosi,70,all,0.8,0.6,-1.2306517451210475e-05
mosi,70,all,0.6,0.4,9.464574494000288e-05
mosi,70,all,0.4,0.2,0.00018913727952152293
mosi,70,all,0.2,0.0,-0.02025054166795781
