variant,seed,rate,pattern,total_count,excluded_original_neutral,count,weighted_f1
Three-class,67,0.7,T,163,0,163,0.8840934117007736
Three-class,67,0.7,TV,38,0,38,0.8685122369332897
Three-class,67,0.7,A,164,0,164,0.6624500436139786
Three-class,67,0.7,AV,52,0,52,0.6258394674330626
Three-class,67,0.7,AT,44,0,44,0.9547348484848487
Three-class,67,0.7,ATV,18,0,18,0.8875000000000001
Three-class,68,0.0,ATV,656,0,656,0.8710722454671765
Three-class,68,0.1,V,3,0,3,0.5333333333333333
Three-class,68,0.1,T,8,0,8,0.873015873015873
Three-class,68,0.1,TV,71,0,71,0.8591549295774648
Three-class,68,0.1,A,4,0,4,1.0
Three-class,68,0.1,AV,53,0,53,0.673674752920036
Three-class,68,0.1,AT,47,0,47,0.8723404255319149
Three-class,68,0.1,ATV,470,0,470,0.8741185285866137
Three-class,68,0.2,V,29,0,29,0.6258085532132719
Three-class,68,0.2,T,19,0,19,0.8947368421052632
Three-class,68,0.2,TV,94,0,94,0.8090393710039068
Three-class,68,0.2,A,23,0,23,0.6292490118577075
Three-class,68,0.2,AV,86,0,86,0.7269055222108907
Three-class,68,0.2,AT,79,0,79,0.8734177215189873
Three-class,68,0.2,ATV,326,0,326,0.853080968111643
Three-class,68,0.3,V,41,0,41,0.7542822222621637
Three-class,68,0.3,T,59,0,59,0.866182405165456
Three-class,68,0.3,TV,97,0,97,0.8461914143612268
Three-class,68,0.3,A,47,0,47,0.6135141454290391
Three-class,68,0.3,AV,92,0,92,0.72889804634891
Three-class,68,0.3,AT,93,0,93,0.8824876489392619
Three-class,68,0.3,ATV,227,0,227,0.8417308246531352
Three-class,68,0.4,V,65,0,65,0.6137319352883926
Three-class,68,0.4,T,64,0,64,0.90625
Three-class,68,0.4,TV,104,0,104,0.9410893454371715
Three-class,68,0.4,A,85,0,85,0.7188571428571429
Three-class,68,0.4,AV,89,0,89,0.5197573829173708
Three-class,68,0.4,AT,92,0,92,0.8147337274899881
Three-class,68,0.4,ATV,157,0,157,0.8721255717167877
Three-class,68,0.5,V,98,0,98,0.7060392990547054
Three-class,68,0.5,T,116,0,116,0.8465433137089992
Three-class,68,0.5,TV,86,0,86,0.8718996243906337
Three-class,68,0.5,A,109,0,109,0.7112905198776758
Three-class,68,0.5,AV,83,0,83,0.5797369741917139
Three-class,68,0.5,AT,88,0,88,0.8409090909090909
Three-class,68,0.5,ATV,76,0,76,0.8811634349030472
Three-class,68,0.6,V,150,0,150,0.5977777777777779
Three-class,68,0.6,T,140,0,140,0.8220049329225004
Three-class,68,0.6,TV,64,0,64,0.9055059523809524
Three-class,68,0.6,A,150,0,150,0.6933333333333334
Three-class,68,0.6,AV,44,0,44,0.7549715909090909
Three-class,68,0.6,AT,70,0,70,0.9142857142857143
Three-class,68,0.6,ATV,38,0,38,0.9735104452253157
Three-class,68,0.7,V,195,0,195,0.6237458193979932
Three-class,68,0.7,T,131,0,131,0.8625954198473282
Three-class,68,0.7,TV,42,0,42,0.7883381924198251
Three-class,68,0.7,A,177,0,177,0.5818714070554294
Three-class,68,0.7,AV,45,0,45,0.6488062693639512
Three-class,68,0.7,AT,44,0,44,0.8869149718206323
Three-class,68,0.7,ATV,22,0,22,0.8610526315789474
Three-class,69,0.0,ATV,656,0,656,0.8698810413119792
Three-class,69,0.1,V,7,0,7,0.7142857142857143
Three-class,69,0.1,T,6,0,6,0.6666666666666666
Three-class,69,0.1,TV,49,0,49,0.8367346938775511
Three-class,69,0.1,A,8,0,8,0.6454545454545454
Three-class,69,0.1,AV,56,0,56,0.6636438393713738
Three-class,69,0.1,AT,48,0,48,0.8077759963353183
Three-class,69,0.1,ATV,482,0,482,0.87082271488352
Three-class,69,0.2,V,24,0,24,0.7905643738977073
Three-class,69,0.2,T,23,0,23,0.8226363008971703
Three-class,69,0.2,TV,77,0,77,0.8438918804772464
Three-class,69,0.2,A,29,0,29,0.6559743384121893
Three-class,69,0.2,AV,83,0,83,0.6536750518627655
Three-class,69,0.2,AT,90,0,90,0.8106473704613
Three-class,69,0.2,ATV,330,0,330,0.864298492205469
