run,dataset,seed,rate,overlap_bucket,n,overlap_mean,damage_mean,damage_median,damage_positive_fraction,pearson,spearman,conversation_count,conversation_equal_damage_mean
mosi_seed66_rate0.7,CMUMOSI,66,0.7,"[0,.1)",2941,0.05171274242160125,0.00753926428681539,0.0016518235206604004,0.6875212512750765,0.20982849857753683,0.27887921010025163,31,0.007920146034659748
mosi_seed66_rate0.7,CMUMOSI,66,0.7,"[.1,.2)",1537,0.14308817383621758,0.037728464464180135,0.01573362946510315,0.7794404684450228,0.17909918805684363,0.1928262250328482,31,0.040130736388707504
mosi_seed66_rate0.7,CMUMOSI,66,0.7,"[.2,.4)",3228,0.29119512973332495,0.09308768394362768,0.051068343222141266,0.7899628252788105,0.21031823962414314,0.17245442517506365,31,0.09717101994392068
mosi_seed66_rate0.7,CMUMOSI,66,0.7,"[.4,.6)",883,0.4694649719570933,0.20664402789785394,0.1250978410243988,0.8131370328425821,0.09851399062856106,0.06494149188554244,31,0.22888748568152642
mosi_seed66_rate0.7,CMUMOSI,66,0.7,"[.6,1]",27,0.6222705620306509,0.351532812471743,0.21193349361419678,0.9259259259259259,0.25240191932959477,0.4829059829059829,6,0.33068219614235356
mosi_seed67_rate0.1,CMUMOSI,67,0.1,"[0,.1)",261,0.05316061926184943,0.021534075246859786,0.0050111860036849976,0.842911877394636,0.3857316532701696,0.3983328946213916,30,0.01840041665228403
mosi_seed67_rate0.1,CMUMOSI,67,0.1,"[.1,.2)",461,0.1537489690322938,0.046738069500458994,0.02285010553896427,0.9370932754880694,0.03409256196646777,0.1530533504974701,31,0.044842020211475306
mosi_seed67_rate0.1,CMUMOSI,67,0.1,"[.2,.4)",406,0.2942697565470423,0.11497601713489723,0.05116842873394489,0.9507389162561576,0.2348015239400471,0.2652860652860653,31,0.12865467737226263
mosi_seed67_rate0.1,CMUMOSI,67,0.1,"[.4,.6)",479,0.470434101613429,0.1858044573240029,0.09816958010196686,0.9478079331941545,0.06821013260299391,0.14809804683746647,31,0.18044449062838216
mosi_seed67_rate0.1,CMUMOSI,67,0.1,"[.6,1]",17,0.6090937291874605,0.18434505953508265,0.10775173455476761,1,0.054076464763513514,0.04656862745098039,12,0.17526733585529858
mosi_seed67_rate0.3,CMUMOSI,67,0.3,"[0,.1)",1126,0.0529646269917541,0.01771851977561708,0.004112285561859608,0.7939609236234458,0.33476796832967687,0.36577602872178294,31,0.016995603043944343
mosi_seed67_rate0.3,CMUMOSI,67,0.3,"[.1,.2)",1231,0.1481687244145876,0.039241023451713264,0.020067382603883743,0.8862713241267263,-0.0020189056599355056,0.046118711092161195,31,0.04001483824184751
mosi_seed67_rate0.3,CMUMOSI,67,0.3,"[.2,.4)",1106,0.29799972777718015,0.11395333315604526,0.04458872973918915,0.8869801084990958,0.20101257849557397,0.2405213196918635,31,0.11971786089003564
mosi_seed67_rate0.3,CMUMOSI,67,0.3,"[.4,.6)",1124,0.46826501251645786,0.15720071575150318,0.08431006595492363,0.8941281138790036,0.0687805627540776,0.10040957484453712,31,0.155286990009133
mosi_seed67_rate0.3,CMUMOSI,67,0.3,"[.6,1]",53,0.6152318412402891,0.163571547716856,0.11858052015304565,0.9245283018867925,0.05523608614033506,0.15755523302693114,18,0.19264094659851658
mosi_seed67_rate0.5,CMUMOSI,67,0.5,"[0,.1)",1989,0.05069620386650996,0.013116684495042982,0.0028116367757320404,0.743086978381096,0.3141550434229387,0.3402434602003282,31,0.01332675370224698
mosi_seed67_rate0.5,CMUMOSI,67,0.5,"[.1,.2)",1759,0.14685486451918053,0.03733661078073343,0.016253041103482246,0.824332006822058,0.007904749732089104,0.0260616492602117,31,0.03635054461937596
mosi_seed67_rate0.5,CMUMOSI,67,0.5,"[.2,.4)",1540,0.2953968927167453,0.09202734029235003,0.039366088807582855,0.8506493506493507,0.20238346872454993,0.20863420094951227,31,0.09490996611180437
mosi_seed67_rate0.5,CMUMOSI,67,0.5,"[.4,.6)",1593,0.4668669842805641,0.15327405385036963,0.07853609323501587,0.847457627118644,0.05133013687818864,0.07360143965568104,31,0.15341444985840075
mosi_seed67_rate0.5,CMUMOSI,67,0.5,"[.6,1]",71,0.6114525912513196,0.248560384860341,0.16921308636665344,0.9154929577464789,0.035857606557078085,0.12028839704896042,20,0.27888763295449615
mosi_seed67_rate0.7,CMUMOSI,67,0.7,"[0,.1)",2697,0.052417246029844516,0.013448131738612508,0.002481715753674507,0.7385984427141268,0.28816730442548494,0.2972668053138807,31,0.013637829013016791
mosi_seed67_rate0.7,CMUMOSI,67,0.7,"[.1,.2)",2147,0.14588180098649675,0.03611872199025746,0.013548517599701881,0.7773637633907778,0.012609677532240484,-0.0034935761939983274,31,0.036500396408500495
mosi_seed67_rate0.7,CMUMOSI,67,0.7,"[.2,.4)",1820,0.2992787804577377,0.07869437423401646,0.02763162925839424,0.7730769230769231,0.1966693359348734,0.1505763127330766,31,0.08409215214024182
mosi_seed67_rate0.7,CMUMOSI,67,0.7,"[.4,.6)",1730,0.46221318551570695,0.13601438793208384,0.060790373012423515,0.7959537572254335,0.08267057406565323,0.0817904164601487,31,0.13880000146798252
mosi_seed67_rate0.7,CMUMOSI,67,0.7,"[.6,1]",102,0.6145946605532777,0.25883293849434336,0.17884450405836105,0.7843137254901961,-0.02979312546803862,0.02185455552979627,21,0.31809728682478383
mosi_seed68_rate0.1,CMUMOSI,68,0.1,"[0,.1)",195,0.060120097280312805,0.021488202563845194,0.005502525717020035,0.8051282051282052,0.197806531697389,0.2530515140235317,31,0.028481357514495438
mosi_seed68_rate0.1,CMUMOSI,68,0.1,"[.1,.2)",378,0.1361958183466442,0.03631144281102236,0.01786377839744091,0.9232804232804233,0.09630763254988858,0.12726796449842578,31,0.03754230837967713
mosi_seed68_rate0.1,CMUMOSI,68,0.1,"[.2,.4)",457,0.3260120755668803,0.11204159714248953,0.06916506588459015,0.9606126914660832,0.1819066822203072,0.17272419580096027,31,0.11556078439804157
mosi_seed68_rate0.1,CMUMOSI,68,0.1,"[.4,.6)",460,0.4586661233202271,0.1844609165645164,0.10290219634771347,0.9630434782608696,0.03284756312696412,-0.08528231312016145,31,0.17962970849143697
mosi_seed68_rate0.1,CMUMOSI,68,0.1,"[.6,1]",70,0.6233035351548876,0.3515380928825055,0.1566201001405716,0.9857142857142858,0.17896220027625706,0.12025194646137696,26,0.3816832038616564
mosi_seed68_rate0.3,CMUMOSI,68,0.3,"[0,.1)",874,0.05743338543806093,0.014382121132929688,0.002887137234210968,0.6990846681922197,0.2259823515331844,0.2604078371635049,31,0.016137991637766646
mosi_seed68_rate0.3,CMUMOSI,68,0.3,"[.1,.2)",1052,0.1377873488634598,0.036539352702564726,0.01650939602404833,0.8697718631178707,0.09450031316806716,0.0818678742654822,31,0.039400250724628307
mosi_seed68_rate0.3,CMUMOSI,68,0.3,"[.2,.4)",1285,0.3182859363490969,0.10022241814996946,0.053878769278526306,0.9027237354085603,0.1580448237549434,0.13870364407991762,31,0.10190718306110269
mosi_seed68_rate0.3,CMUMOSI,68,0.3,"[.4,.6)",1139,0.4631723854707144,0.1778039337774449,0.09618650376796722,0.9043020193151887,0.12026670173727663,0.05316829694725294,31,0.18417898009974018
mosi_seed68_rate0.3,CMUMOSI,68,0.3,"[.6,1]",162,0.6245952701127088,0.3659144623756961,0.17375340312719345,0.9197530864197531,0.010920848987818765,-0.040474990861760665,31,0.36774306996244815
mosi_seed68_rate0.5,CMUMOSI,68,0.5,"[0,.1)",1707,0.06021292395857024,0.01187476640219097,0.002350836992263794,0.6965436438195665,0.23801822760016708,0.22614870044304866,31,0.011935276838879244
mosi_seed68_rate0.5,CMUMOSI,68,0.5,"[.1,.2)",1514,0.13592273794124432,0.03639440552997089,0.013461890630424023,0.8196829590488771,0.14551482319618989,0.13366997004564535,31,0.03713522353477102
mosi_seed68_rate0.5,CMUMOSI,68,0.5,"[.2,.4)",1911,0.30886175486974105,0.09096642588725784,0.04706086218357086,0.8456305599162742,0.16166476592961468,0.13646231484503643,31,0.090347823711568
mosi_seed68_rate0.5,CMUMOSI,68,0.5,"[.4,.6)",1606,0.46405020779274764,0.18075537440340367,0.09386542439460754,0.8524283935242839,0.18869083811538265,0.11484437879640917,31,0.18018684503537927
mosi_seed68_rate0.5,CMUMOSI,68,0.5,"[.6,1]",206,0.6237876195352055,0.38539774670690585,0.2188006192445755,0.8592233009708737,0.04543842968836601,0.017758513591889822,29,0.4186692119807136
mosi_seed68_rate0.7,CMUMOSI,68,0.7,"[0,.1)",2420,0.06222266912160149,0.008443543438468714,0.0015193354338407516,0.6673553719008265,0.19938573137185256,0.18546835611290177,31,0.008972336518423272
mosi_seed68_rate0.7,CMUMOSI,68,0.7,"[.1,.2)",1853,0.137018523869068,0.028045457937587323,0.009156644344329834,0.7787371829465731,0.08831373059949166,0.08894481982222836,31,0.029266363364865555
mosi_seed68_rate0.7,CMUMOSI,68,0.7,"[.2,.4)",2308,0.3037269844946353,0.07253116798591985,0.033819034695625305,0.7902946273830156,0.09249131056803145,0.06610728066059919,31,0.07388303129139781
mosi_seed68_rate0.7,CMUMOSI,68,0.7,"[.4,.6)",1787,0.4615653400222349,0.1529311298496425,0.07237391173839569,0.8153329602686066,0.2128105992632462,0.1034864749341968,31,0.1572462167461418
mosi_seed68_rate0.7,CMUMOSI,68,0.7,"[.6,1]",240,0.6219940933088461,0.3274371496130091,0.16947010904550552,0.8333333333333334,0.08042710106314353,0.19062396916613136,30,0.35076666766181014
mosi_seed69_rate0.1,CMUMOSI,69,0.1,"[0,.1)",133,0.05566974855343202,0.020964456070914753,0.005554897710680962,0.7593984962406015,0.3086686775793664,0.46649187419022453,24,0.026146622072940554
