seed,section,rate,mode,modality,metric,value
66,retention,0.7,protected,text,err_post,0.17359216194923438
66,retention,0.7,protected,text,write_damage,2.4928087073172866e-05
66,retention,0.7,protected,visual,decay_damage,0.013115577747975943
66,retention,0.7,protected,visual,err_decay,0.14438488026133559
66,retention,0.7,protected,visual,err_post,0.1444054619772066
66,retention,0.7,protected,visual,write_damage,2.058171587102222e-05
66,task,0.7,protected,,accuracy,0.7832393231265109
66,task,0.7,protected,,macro_f1,0.7706489898989899
66,task,0.7,protected,,weighted_f1,0.782352701063821
66,write_audit,0.7,protected,,applied_norm,5.4336913476932995
66,write_audit,0.7,protected,,global_norm,5.433691350441489
66,write_audit,0.7,protected,,global_scale,0.9174082651043928
66,write_audit,0.7,protected,,norm_mismatch,2.2380109230997483e-07
66,write_audit,0.7,protected,,original_norm,5.902628502705698
66,write_audit,0.7,protected,,protected_norm,5.433691348608862
66,write_fit,0.7,protected,audio,err_after,0.09827710593637107
66,write_fit,0.7,protected,audio,err_before,0.7269255012924293
66,write_fit,0.7,protected,audio,err_original_after,0.0015507678850303992
66,write_fit,0.7,protected,audio,fit_gain,0.6286483953560582
66,write_fit,0.7,protected,text,err_after,0.15543986771934865
66,write_fit,0.7,protected,text,err_before,1.039978748431361
66,write_fit,0.7,protected,text,err_original_after,0.0022120313012955186
66,write_fit,0.7,protected,text,fit_gain,0.8845388807120123
66,write_fit,0.7,protected,visual,err_after,0.10323944746583923
66,write_fit,0.7,protected,visual,err_before,0.7327054335170226
66,write_fit,0.7,protected,visual,err_original_after,0.0015824097282349616
66,write_fit,0.7,protected,visual,fit_gain,0.6294659860511833
66,task,0,global-minus-fixed0.9,,accuracy,0.0016116035455278066
66,task,0,global-minus-fixed0.9,,macro_f1,0.0020450856372002946
66,task,0,global-minus-fixed0.9,,weighted_f1,0.0016683802458344887
66,write_audit,0,global-minus-fixed0.9,,applied_norm,1.2790971042935073
66,write_audit,0,global-minus-fixed0.9,,global_norm,0.3257833524193625
66,write_audit,0,global-minus-fixed0.9,,global_scale,0.0
66,write_audit,0,global-minus-fixed0.9,,norm_mismatch,0.0
66,write_audit,0,global-minus-fixed0.9,,original_norm,0.3257833524193625
66,write_audit,0,global-minus-fixed0.9,,protected_norm,0.3257833524193625
66,write_fit,0,global-minus-fixed0.9,audio,err_after,-0.06713809497791702
66,write_fit,0,global-minus-fixed0.9,audio,err_before,0.026072389511864302
66,write_fit,0,global-minus-fixed0.9,audio,err_original_after,5.534275406496314e-05
66,write_fit,0,global-minus-fixed0.9,audio,fit_gain,0.09321048448978131
66,write_fit,0,global-minus-fixed0.9,text,err_after,-0.10023899426141175
66,write_fit,0,global-minus-fixed0.9,text,err_before,0.038658709993614426
66,write_fit,0,global-minus-fixed0.9,text,err_original_after,8.441969843617355e-05
66,write_fit,0,global-minus-fixed0.9,text,fit_gain,0.13889770425502612
66,write_fit,0,global-minus-fixed0.9,visual,err_after,-0.06693092031408214
66,write_fit,0,global-minus-fixed0.9,visual,err_before,0.02395235019592279
66,write_fit,0,global-minus-fixed0.9,visual,err_original_after,5.3758578584688944e-05
66,write_fit,0,global-minus-fixed0.9,visual,fit_gain,0.09088327051000489
66,retention,0.1,global-minus-fixed0.9,audio,decay_damage,0.007346471013079281
66,retention,0.1,global-minus-fixed0.9,audio,err_decay,-0.04998338191762741
66,retention,0.1,global-minus-fixed0.9,audio,err_post,-0.017063725159459864
66,retention,0.1,global-minus-fixed0.9,audio,write_damage,0.03291965620883275
66,retention,0.1,global-minus-fixed0.9,text,decay_damage,0.005411843569561784
66,retention,0.1,global-minus-fixed0.9,text,err_decay,-0.07223604348093869
66,retention,0.1,global-minus-fixed0.9,text,err_post,-0.030386379934391916
66,retention,0.1,global-minus-fixed0.9,text,write_damage,0.04184966351255692
