dataset,rate,mode,section,modality,metric,n_seeds,mean,sample_std
mosi,0.1,fixed0.8,task,,correlation,5,0.7538454844102307,0.014743375910653018
mosi,0.1,fixed0.8,task,,macro_f1,5,0.8419828082389681,0.012106202009267954
mosi,0.1,fixed0.8,task,,mae,5,0.8267241358757019,0.04206162561352697
mosi,0.1,fixed0.8,task,,predicted_sign_count,5,2.0,0.0
mosi,0.1,fixed0.8,task,,prediction_std,5,1.201936137676239,0.18816034960095152
mosi,0.1,fixed0.8,task,,weighted_f1,5,0.8464608517641973,0.011677449195206717
mosi,0.1,fixed0.9,current_observed_write_fit,audio,err_after,5,0.017755582661414325,0.0021282001592683405
mosi,0.1,fixed0.9,current_observed_write_fit,text,err_after,5,0.07652774200674577,0.004551987028601339
mosi,0.1,fixed0.9,current_observed_write_fit,visual,err_after,5,0.032365258902056424,0.003983640156981763
mosi,0.1,fixed0.9,retention,audio,err_decay,5,0.05317358685181787,0.008833026407697278
mosi,0.1,fixed0.9,retention,text,err_decay,5,0.09300078190937154,0.006968618286184806
mosi,0.1,fixed0.9,retention,visual,err_decay,5,0.052880926389409756,0.004681831598630929
mosi,0.1,fixed0.9,task,,accuracy,5,0.8478658536585366,0.01122265995079633
mosi,0.1,fixed0.9,task,,correlation,5,0.7529408436404323,0.015001410722377147
mosi,0.1,fixed0.9,task,,macro_f1,5,0.8426071935530365,0.011850147080928818
mosi,0.1,fixed0.9,task,,mae,5,0.82775958776474,0.042107021535099966
mosi,0.1,fixed0.9,task,,predicted_sign_count,5,2.0,0.0
mosi,0.1,fixed0.9,task,,prediction_std,5,1.2013531446456909,0.18774783310638246
mosi,0.1,fixed0.9,task,,weighted_f1,5,0.8470691233991986,0.011403894613739148
mosi,0.1,fixed0.95,current_observed_write_fit,audio,err_after,5,0.009136791441444919,0.001122182732088184
mosi,0.1,fixed0.95,current_observed_write_fit,text,err_after,5,0.03968394212430087,0.0023640936347108983
mosi,0.1,fixed0.95,current_observed_write_fit,visual,err_after,5,0.016747392115423327,0.0020623270965285617
mosi,0.1,fixed0.95,retention,audio,err_decay,5,0.04821159861278716,0.007738951898156242
mosi,0.1,fixed0.95,retention,text,err_decay,5,0.06013998660411394,0.0036438606937774344
mosi,0.1,fixed0.95,retention,visual,err_decay,5,0.04118811185579515,0.00413414808138864
mosi,0.1,fixed0.95,task,,accuracy,5,0.8490853658536586,0.011659343399983499
mosi,0.1,fixed0.95,task,,correlation,5,0.7524589841824738,0.015105617671376635
mosi,0.1,fixed0.95,task,,macro_f1,5,0.843826756651469,0.012352373568178535
mosi,0.1,fixed0.95,task,,mae,5,0.8283328890800477,0.042077457999462206
mosi,0.1,fixed0.95,task,,predicted_sign_count,5,2.0,0.0
mosi,0.1,fixed0.95,task,,prediction_std,5,1.2010165929794312,0.187518940244851
mosi,0.1,fixed0.95,task,,weighted_f1,5,0.8482705683899849,0.011873808422492308
mosi,0.1,reference,current_observed_write_fit,audio,err_after,5,0.0006262901740387946,0.00015197213905301157
mosi,0.1,reference,current_observed_write_fit,text,err_after,5,0.001833802411985943,7.398179292226006e-05
mosi,0.1,reference,current_observed_write_fit,visual,err_after,5,0.0010171327093018725,3.562239836795178e-05
mosi,0.1,reference,retention,audio,err_decay,5,0.04481478831780192,0.006993985144064422
mosi,0.1,reference,retention,text,err_decay,5,0.03062863969282388,0.002819715440503488
mosi,0.1,reference,retention,visual,err_decay,5,0.032389939370584854,0.004445357045288839
mosi,0.1,reference,task,,accuracy,5,0.848780487804878,0.01132571684207727
mosi,0.1,reference,task,,correlation,5,0.7519618704364015,0.01519330154701255
mosi,0.1,reference,task,,macro_f1,5,0.8435283048679112,0.012011782445154866
mosi,0.1,reference,task,,mae,5,0.8289300203323364,0.042015898508079026
mosi,0.1,reference,task,,predicted_sign_count,5,2.0,0.0
mosi,0.1,reference,task,,prediction_std,5,1.200644302368164,0.18727289060177363
mosi,0.1,reference,task,,weighted_f1,5,0.8479731209288482,0.011539862161874843
mosi,0.3,fixed0.8,current_observed_write_fit,audio,err_after,5,0.04199353977485465,0.004207920698220078
mosi,0.3,fixed0.8,current_observed_write_fit,text,err_after,5,0.15268281599104644,0.008449521037921657
mosi,0.3,fixed0.8,current_observed_write_fit,visual,err_after,5,0.07038667176175942,0.007141492328476015
mosi,0.3,fixed0.8,retention,audio,err_decay,5,0.09256801951897564,0.02245420570181934
mosi,0.3,fixed0.8,retention,text,err_decay,5,0.18320979278259325,0.008949227908321642
mosi,0.3,fixed0.8,retention,visual,err_decay,5,0.1162268529577398,0.0060394633489588906
mosi,0.3,fixed0.8,task,,accuracy,5,0.801219512195122,0.00967717698055114
mosi,0.3,fixed0.8,task,,correlation,5,0.6794268874768185,0.012500630576048723
mosi,0.3,fixed0.8,task,,macro_f1,5,0.7950653797251193,0.00963101185602024
mosi,0.3,fixed0.8,task,,mae,5,0.9346964597702027,0.018554681426996525
mosi,0.3,fixed0.8,task,,predicted_sign_count,5,2.0,0.0
mosi,0.3,fixed0.8,task,,prediction_std,5,1.0986332774162293,0.14512486629349955
