seed,rate,pattern,t,n,weighted_f1,score_delta_mean,score_mae,score_p90_abs,sign_flip_percent
66,0.4,AT,0.0,97,85.56701030927834,-0.00043626916930847564,0.002307258277517004,0.005558669567108154,0.0
66,0.4,AT,0.5,97,85.56701030927834,3.545950214887403e-05,0.001493359618272978,0.0034117341041564947,0.0
66,0.4,AT,1.0,97,85.56701030927834,0.0,0.0,0.0,0.0
66,0.4,AV,-1.0,90,71.62280701754385,-0.003353706416156557,0.006514424582322439,0.012101957201957702,1.1111111111111112
66,0.4,AV,-0.5,90,71.62280701754385,-0.0024407623128758537,0.0066507057597239815,0.01161459088325501,1.1111111111111112
66,0.4,AV,0.0,90,71.62280701754385,-0.0015197029130326377,0.005573558020922873,0.009277197718620301,1.1111111111111112
66,0.4,AV,0.5,90,70.51428571428572,-0.0006727319210767746,0.0033493434803353417,0.005623711645603182,0.0
66,0.4,AV,1.0,90,70.51428571428572,0.0,0.0,0.0,0.0
66,0.4,TV,-1.0,100,88.83982310430375,0.03919939264655113,0.04543191060423851,0.09527453184127807,0.0
66,0.4,TV,-0.5,100,88.83982310430375,0.02929058238863945,0.03310341700911522,0.06591525077819825,0.0
66,0.4,TV,0.0,100,88.83982310430375,0.01916628420352936,0.021196738481521607,0.041607141494750984,0.0
66,0.4,TV,0.5,100,88.83982310430375,0.009308742061257362,0.010091473832726478,0.01931126713752747,0.0
66,0.4,TV,1.0,100,88.83982310430375,0.0,0.0,0.0,0.0
66,0.5,ALL,-1.0,249,79.11646586345381,0.008604335961451971,0.018843258046601193,0.062224590778350845,0.0
66,0.5,ALL,-0.5,249,79.11646586345381,0.006497444278265099,0.014201933181429484,0.04789804220199588,0.0
66,0.5,ALL,0.0,249,79.11646586345381,0.004267129493525708,0.009546338045692828,0.030652451515197784,0.0
66,0.5,ALL,0.5,249,79.11646586345381,0.0020734054676021436,0.004864325485076292,0.01363725662231446,0.0
66,0.5,ALL,1.0,249,79.11646586345381,0.0,0.0,0.0,0.0
66,0.5,AT,-1.0,76,77.70088150940501,-0.004465632434738309,0.005454630345890396,0.013223648071289062,0.0
66,0.5,AT,-0.5,76,77.70088150940501,-0.002907997487406982,0.004181191129119773,0.01128232479095459,0.0
66,0.5,AT,0.0,76,77.70088150940501,-0.0017253474185341283,0.0032102112707338834,0.009747922420501709,0.0
66,0.5,AT,0.5,76,77.70088150940501,-0.0007985410231508707,0.0019941686309481923,0.006236851215362549,0.0
66,0.5,AT,1.0,76,77.70088150940501,0.0,0.0,0.0,0.0
66,0.5,AV,-1.0,84,64.28571428571429,-0.006506244297183696,0.008159074444501173,0.015470612049102784,0.0
66,0.5,AV,-0.5,84,64.28571428571429,-0.005142228056987126,0.007392585632346925,0.013939595222473145,0.0
66,0.5,AV,0.0,84,64.28571428571429,-0.0035390774054186685,0.005744016152762231,0.010296650230884552,0.0
