seed,rate,pattern,component,n,mean,mean_abs,p90_abs
67,0.6,TV,oddhalf,58,-0.022819019532923042,0.026484771984918363,0.04579095840454102
67,0.6,TV,evenhalf,58,0.002258728226197177,0.0031623558366093143,0.007194620370864868
67,0.7,ALL,odd1,134,-0.014021598852114446,0.021792494267948083,0.05998919904232026
67,0.7,ALL,even1,134,0.004039653041747524,0.006784107800183901,0.016956639289855958
67,0.7,ALL,oddhalf,134,-0.0072041505204041055,0.011082658081996575,0.03038876354694367
67,0.7,ALL,evenhalf,134,0.0010664969675743313,0.0017598928682116875,0.0045229971408844
67,0.7,AT,odd1,44,-0.009995214895091274,0.01783143618906086,0.038583219051361084
67,0.7,AT,even1,44,0.006666637195104902,0.008820387365465815,0.019401246309280397
67,0.7,AT,oddhalf,44,-0.005180251191962849,0.009109812026674097,0.01995741128921509
67,0.7,AT,evenhalf,44,0.0017615030096335845,0.002303504300388423,0.00503443479537964
67,0.7,AV,odd1,52,-0.0012302205342656146,0.008379685898454716,0.01630732864141464
67,0.7,AV,even1,52,0.002182496631016525,0.003714833757840097,0.007412773370742798
67,0.7,AV,oddhalf,52,-0.0006289539876608894,0.004224383585656492,0.00822032243013382
67,0.7,AV,evenhalf,52,0.0005557687791924064,0.0009404747800614971,0.0018788993358612059
67,0.7,TV,odd1,38,-0.03618771902677652,0.04473335191754526,0.08764256834983826
67,0.7,TV,even1,38,0.0035392538472813996,0.008626369624643734,0.01767958402633667
67,0.7,TV,oddhalf,38,-0.018545250261300487,0.022752013351572186,0.044756156206130986
67,0.7,TV,evenhalf,38,0.0009606443345546722,0.002251757014738886,0.004627084732055664
68,0.0,ALL,odd1,0,,,
68,0.0,ALL,even1,0,,,
68,0.0,ALL,oddhalf,0,,,
68,0.0,ALL,evenhalf,0,,,
68,0.0,AT,odd1,0,,,
68,0.0,AT,even1,0,,,
68,0.0,AT,oddhalf,0,,,
68,0.0,AT,evenhalf,0,,,
68,0.0,AV,odd1,0,,,
68,0.0,AV,even1,0,,,
68,0.0,AV,oddhalf,0,,,
68,0.0,AV,evenhalf,0,,,
68,0.0,TV,odd1,0,,,
68,0.0,TV,even1,0,,,
68,0.0,TV,oddhalf,0,,,
68,0.0,TV,evenhalf,0,,,
68,0.1,ALL,odd1,171,-0.010097826607743202,0.0217772963843499,0.04209517687559128
68,0.1,ALL,even1,171,0.0008480424464446062,0.0034524751990510708,0.006901204586029053
68,0.1,ALL,oddhalf,171,-0.005138793497275539,0.01095167466314041,0.021292835474014282
68,0.1,ALL,evenhalf,171,0.00022097946585793244,0.0008799068531707713,0.0017273128032684326
68,0.1,AT,odd1,47,-0.018990354434131308,0.024522913362276046,0.053978294134140015
68,0.1,AT,even1,47,0.0020526239569199846,0.002832995034120184,0.0057586908340454095
68,0.1,AT,oddhalf,47,-0.009573583828007921,0.012350367025492038,0.02724688649177551
68,0.1,AT,evenhalf,47,0.000521719217934507,0.0007179456346846641,0.001470208168029785
68,0.1,AV,odd1,53,0.015078609809279442,0.016121539691427968,0.028571460209786893
68,0.1,AV,even1,53,0.000395075576204174,0.003934107720851898,0.0066947400569915775
68,0.1,AV,oddhalf,53,0.007470004629554614,0.008017547797622546,0.0143403060734272
68,0.1,AV,evenhalf,53,0.00010927726145622865,0.0009996245949054664,0.0017086535692214966
68,0.1,TV,odd1,71,-0.023004901569179247,0.02418167816973488,0.043733417987823486
68,0.1,TV,even1,71,0.0003887736172953122,0.003503025115900476,0.007362782955169678
68,0.1,TV,oddhalf,71,-0.011615288640621682,0.012216043435561826,0.022072315216064453
68,0.1,TV,evenhalf,71,0.00010528155720569717,0.0008977538525638445,0.0019183158874511719
68,0.2,ALL,odd1,259,-0.009656013291631196,0.02050432812738948,0.04311923682689667
68,0.2,ALL,even1,259,0.0013320819442394158,0.003422307731533373,0.007596874237060547
68,0.2,ALL,oddhalf,259,-0.004918100125368498,0.010306387154464556,0.021541864424943928
68,0.2,ALL,evenhalf,259,0.0003409481402414646,0.0008662023930360911,0.0019172370433807374
68,0.2,AT,odd1,79,-0.017645075198121463,0.024351059859972213,0.05597790479660036
68,0.2,AT,even1,79,0.0015622010407379911,0.0022747312802114065,0.005197227001190187
68,0.2,AT,oddhalf,79,-0.008913623817453656,0.012278110602328295,0.02823681831359864
